Customer_ID,churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls
34,TRUE,161.0,TRUE,FALSE,0.0,194.2,106.0,33.0,249.4,105.0,21.2,254.9,129.0,11.5,12.9,1.0,3.5,1.0
35,FALSE,70.0,FALSE,FALSE,0.0,222.8,114.0,37.9,215.9,113.0,18.4,223.5,122.0,10.1,0.0,0.0,0.0,1.0
36,FALSE,116.0,FALSE,FALSE,0.0,201.8,82.0,34.3,231.5,95.0,19.7,226.1,130.0,10.2,16.5,5.0,4.5,0.0
37,FALSE,95.0,FALSE,FALSE,0.0,135.0,99.0,23.0,183.6,106.0,15.6,245.3,102.0,11.0,12.5,9.0,3.4,1.0
38,TRUE,99.0,FALSE,TRUE,42.0,216.0,125.0,36.7,232.3,104.0,19.8,215.5,100.0,9.7,9.3,4.0,2.5,2.0
39,FALSE,87.0,FALSE,FALSE,0.0,146.3,108.0,24.9,171.8,102.0,14.6,167.5,66.0,7.5,5.3,9.0,1.4,1.0
40,FALSE,87.0,FALSE,FALSE,0.0,234.8,85.0,39.9,140.9,91.0,12.0,204.3,93.0,9.2,9.5,5.0,2.6,1.0
41,FALSE,70.0,FALSE,FALSE,0.0,198.6,111.0,33.8,213.9,115.0,18.2,171.2,105.0,7.7,10.6,6.0,2.9,2.0
42,FALSE,131.0,FALSE,FALSE,0.0,94.4,80.0,16.1,215.1,101.0,18.3,179.7,108.0,8.1,13.1,9.0,3.5,2.0
43,FALSE,119.0,FALSE,FALSE,0.0,190.4,74.0,32.4,215.6,113.0,18.3,161.2,111.0,7.3,10.0,1.0,2.7,2.0
44,FALSE,119.0,FALSE,TRUE,32.0,142.6,77.0,24.2,208.2,126.0,17.7,171.0,102.0,7.7,12.0,2.0,3.2,3.0
45,FALSE,87.0,TRUE,FALSE,0.0,134.2,80.0,22.8,165.0,71.0,14.0,173.1,102.0,7.8,10.7,5.0,2.9,0.0
46,TRUE,112.0,FALSE,FALSE,0.0,111.9,92.0,19.0,114.0,143.0,9.7,146.8,79.0,6.6,14.1,3.0,3.8,5.0
47,FALSE,75.0,FALSE,FALSE,0.0,122.8,89.0,20.9,211.3,104.0,18.0,261.4,91.0,11.8,10.7,2.0,2.9,2.0
48,FALSE,122.0,FALSE,FALSE,0.0,170.5,94.0,29.0,173.7,109.0,14.8,248.6,75.0,11.2,11.3,2.0,3.1,1.0
49,FALSE,150.0,FALSE,FALSE,0.0,189.3,77.0,32.2,220.9,105.0,18.8,238.7,117.0,10.7,9.2,5.0,2.5,4.0
50,FALSE,161.0,FALSE,TRUE,38.0,240.4,112.0,40.9,201.8,102.0,17.2,206.1,112.0,9.3,16.1,6.0,4.4,0.0
51,FALSE,91.0,TRUE,TRUE,24.0,93.5,112.0,15.9,183.4,128.0,15.6,240.7,133.0,10.8,9.9,3.0,2.7,0.0
52,FALSE,124.0,FALSE,FALSE,0.0,158.6,104.0,27.0,211.2,77.0,18.0,179.3,104.0,8.1,10.2,8.0,2.8,3.0
53,FALSE,94.0,TRUE,FALSE,0.0,243.2,109.0,41.3,147.0,88.0,12.5,94.9,99.0,4.3,7.2,4.0,1.9,4.0
54,FALSE,217.0,FALSE,FALSE,0.0,176.4,115.0,30.0,158.8,128.0,13.5,306.6,107.0,13.8,9.3,3.0,2.5,4.0
55,FALSE,158.0,FALSE,FALSE,0.0,220.9,129.0,37.6,242.2,108.0,20.6,233.3,75.0,10.5,6.4,5.0,1.7,0.0
56,FALSE,102.0,FALSE,FALSE,0.0,144.4,87.0,24.6,266.5,128.0,22.7,217.6,59.0,9.8,7.1,7.0,1.9,0.0
57,FALSE,85.0,FALSE,FALSE,0.0,212.3,107.0,36.1,228.4,103.0,19.4,163.3,116.0,7.4,7.7,3.0,2.1,0.0
58,FALSE,79.0,FALSE,FALSE,0.0,147.0,72.0,25.0,165.7,102.0,14.1,243.2,107.0,10.9,8.4,9.0,2.3,1.0
59,FALSE,95.0,FALSE,FALSE,0.0,238.1,65.0,40.5,187.2,98.0,15.9,190.0,115.0,8.6,11.8,4.0,3.2,4.0
60,FALSE,139.0,FALSE,TRUE,25.0,96.2,112.0,16.4,178.9,70.0,15.2,182.1,84.0,8.2,12.9,10.0,3.5,2.0
61,FALSE,103.0,FALSE,FALSE,0.0,263.4,118.0,44.8,179.1,69.0,15.2,214.7,112.0,9.7,10.3,2.0,2.8,0.0
62,FALSE,98.0,TRUE,FALSE,0.0,12.5,67.0,2.1,256.6,90.0,21.8,169.4,88.0,7.6,7.7,9.0,2.1,1.0
63,FALSE,78.0,FALSE,FALSE,0.0,162.3,116.0,27.6,192.4,86.0,16.4,240.6,100.0,10.8,10.1,3.0,2.7,2.0
64,FALSE,50.0,FALSE,FALSE,0.0,183.6,107.0,31.2,58.6,118.0,5.0,202.6,99.0,9.1,8.7,3.0,2.4,1.0
65,FALSE,161.0,FALSE,FALSE,0.0,178.1,109.0,30.3,146.5,86.0,12.5,137.6,78.0,6.2,8.5,2.0,2.3,1.0
66,FALSE,67.0,FALSE,FALSE,0.0,201.4,101.0,34.2,97.6,122.0,8.3,202.5,119.0,9.1,7.0,3.0,1.9,0.0
67,FALSE,86.0,FALSE,TRUE,38.0,123.0,158.0,20.9,133.9,119.0,11.4,138.2,103.0,6.2,13.3,4.0,3.6,1.0
68,FALSE,92.0,FALSE,FALSE,0.0,208.0,125.0,35.4,198.9,76.0,16.9,76.4,97.0,3.4,8.6,6.0,2.3,0.0
69,FALSE,174.0,FALSE,FALSE,0.0,239.2,72.0,40.7,188.5,124.0,16.0,105.6,116.0,4.8,8.8,3.0,2.4,1.0
70,FALSE,36.0,FALSE,TRUE,29.0,281.4,102.0,47.8,202.2,76.0,17.2,187.2,113.0,8.4,9.0,6.0,2.4,2.0
71,FALSE,124.0,FALSE,FALSE,0.0,193.0,97.0,32.8,89.8,99.0,7.6,172.8,104.0,7.8,15.3,3.0,4.1,1.0
72,FALSE,132.0,FALSE,TRUE,31.0,174.5,101.0,29.7,245.6,105.0,20.9,172.8,76.0,7.8,10.3,9.0,2.8,1.0
73,FALSE,190.0,FALSE,TRUE,26.0,116.7,71.0,19.8,145.9,88.0,12.4,175.1,103.0,7.9,9.9,3.0,2.7,1.0
74,FALSE,101.0,FALSE,FALSE,0.0,93.8,127.0,16.0,150.0,104.0,12.8,241.1,116.0,10.9,10.7,2.0,2.9,1.0
75,FALSE,185.0,TRUE,TRUE,30.0,154.1,114.0,26.2,118.7,106.0,10.1,258.4,105.0,11.6,12.9,3.0,3.5,2.0
76,FALSE,68.0,FALSE,TRUE,29.0,239.5,82.0,40.7,203.8,105.0,17.3,167.8,70.0,7.6,9.9,6.0,2.7,0.0
77,FALSE,117.0,FALSE,TRUE,25.0,216.0,140.0,36.7,224.1,69.0,19.1,267.9,112.0,12.1,11.8,4.0,3.2,0.0
78,FALSE,118.0,FALSE,FALSE,0.0,187.4,97.0,31.9,177.8,89.0,15.1,233.4,97.0,10.5,12.2,6.0,3.3,1.0
79,FALSE,124.0,FALSE,FALSE,0.0,167.4,119.0,28.5,233.2,143.0,19.8,109.6,115.0,4.9,10.3,5.0,2.8,0.0
80,FALSE,22.0,FALSE,FALSE,0.0,160.4,108.0,27.3,218.1,88.0,18.5,192.9,115.0,8.7,12.5,4.0,3.4,1.0
81,FALSE,93.0,FALSE,TRUE,21.0,117.9,131.0,20.0,164.5,115.0,14.0,217.0,86.0,9.8,9.8,3.0,2.7,1.0
82,FALSE,75.0,FALSE,FALSE,0.0,143.2,92.0,24.3,209.1,142.0,17.8,173.0,96.0,7.8,11.9,9.0,3.2,1.0
83,FALSE,134.0,FALSE,FALSE,0.0,205.3,122.0,34.9,240.5,155.0,20.4,179.1,107.0,8.1,5.0,9.0,1.4,1.0
84,FALSE,164.0,FALSE,TRUE,25.0,219.1,88.0,37.3,151.5,99.0,12.9,50.1,60.0,2.3,14.3,6.0,3.9,1.0
85,FALSE,44.0,FALSE,FALSE,0.0,143.2,77.0,24.3,169.8,114.0,14.4,215.8,77.0,9.7,7.6,4.0,2.1,1.0
86,FALSE,177.0,FALSE,FALSE,0.0,232.8,106.0,39.6,175.2,97.0,14.9,212.2,77.0,9.6,12.5,7.0,3.4,2.0
87,FALSE,110.0,FALSE,FALSE,0.0,162.0,81.0,27.5,247.5,89.0,21.0,155.5,99.0,7.0,8.9,8.0,2.4,0.0
88,FALSE,53.0,FALSE,TRUE,27.0,25.9,119.0,4.4,206.5,96.0,17.6,228.1,64.0,10.3,6.5,7.0,1.8,1.0
89,TRUE,108.0,FALSE,FALSE,0.0,154.2,123.0,26.2,112.3,86.0,9.6,246.4,75.0,11.1,15.4,4.0,4.2,4.0
90,TRUE,80.0,FALSE,FALSE,0.0,322.3,113.0,54.8,222.0,95.0,18.9,162.8,123.0,7.3,6.7,8.0,1.8,0.0
91,FALSE,158.0,FALSE,FALSE,0.0,209.9,112.0,35.7,221.3,82.0,18.8,210.0,93.0,9.5,8.2,3.0,2.2,1.0
92,FALSE,141.0,FALSE,TRUE,32.0,148.6,91.0,25.3,131.1,97.0,11.1,219.4,142.0,9.9,10.1,1.0,2.7,1.0
93,FALSE,114.0,FALSE,FALSE,0.0,191.5,88.0,32.6,175.2,78.0,14.9,220.3,118.0,9.9,0.0,0.0,0.0,0.0
94,FALSE,64.0,FALSE,TRUE,19.0,291.1,150.0,49.5,226.7,123.0,19.3,219.1,67.0,9.9,7.5,2.0,2.0,1.0
95,FALSE,88.0,FALSE,FALSE,0.0,215.6,115.0,36.7,216.2,85.0,18.4,171.3,65.0,7.7,11.8,1.0,3.2,3.0
96,FALSE,82.0,TRUE,FALSE,0.0,208.8,101.0,35.5,213.7,87.0,18.2,175.1,86.0,7.9,12.4,6.0,3.4,3.0
97,FALSE,111.0,FALSE,FALSE,0.0,255.9,97.0,43.5,204.1,129.0,17.4,171.3,84.0,7.7,12.3,5.0,3.3,3.0
98,FALSE,60.0,FALSE,FALSE,0.0,252.7,97.0,43.0,221.1,121.0,18.8,109.9,100.0,5.0,12.4,4.0,3.4,2.0
99,FALSE,113.0,FALSE,FALSE,0.0,132.1,72.0,22.5,247.5,107.0,21.0,246.2,123.0,11.1,6.9,6.0,1.9,3.0
100,FALSE,109.0,FALSE,FALSE,0.0,217.0,115.0,36.9,207.0,142.0,17.6,268.0,106.0,12.1,8.2,4.0,2.2,1.0
101,FALSE,105.0,FALSE,TRUE,42.0,101.9,79.0,17.3,223.1,97.0,19.0,241.6,77.0,10.9,12.9,2.0,3.5,0.0
102,FALSE,85.0,FALSE,FALSE,0.0,211.5,100.0,36.0,184.6,88.0,15.7,164.3,131.0,7.4,13.3,4.0,3.6,2.0
103,FALSE,157.0,FALSE,FALSE,0.0,229.8,90.0,39.1,147.9,121.0,12.6,241.4,108.0,10.9,9.6,7.0,2.6,3.0
104,FALSE,131.0,FALSE,FALSE,0.0,153.4,86.0,26.1,198.5,81.0,16.9,164.4,83.0,7.4,10.4,3.0,2.8,0.0
105,FALSE,59.0,FALSE,FALSE,0.0,166.3,95.0,28.3,239.3,87.0,20.3,123.2,108.0,5.5,10.0,3.0,2.7,2.0
106,FALSE,148.0,FALSE,FALSE,0.0,185.2,87.0,31.5,170.4,96.0,14.5,165.1,104.0,7.4,9.5,13.0,2.6,1.0
107,FALSE,210.0,FALSE,FALSE,0.0,104.6,121.0,17.8,149.5,71.0,12.7,255.1,67.0,11.5,6.5,8.0,1.8,2.0
108,FALSE,115.0,FALSE,FALSE,0.0,245.2,105.0,41.7,159.0,109.0,13.5,229.9,74.0,10.4,7.2,8.0,1.9,0.0
109,FALSE,106.0,FALSE,FALSE,0.0,274.4,120.0,46.7,198.6,82.0,16.9,160.8,62.0,7.2,6.0,3.0,1.6,1.0
110,FALSE,93.0,FALSE,FALSE,0.0,98.4,78.0,16.7,249.6,129.0,21.2,248.2,114.0,11.2,14.2,4.0,3.8,1.0
111,FALSE,57.0,FALSE,TRUE,29.0,279.9,121.0,47.6,223.1,109.0,19.0,251.7,94.0,11.3,13.0,2.0,3.5,1.0
112,FALSE,98.0,FALSE,FALSE,0.0,187.2,127.0,31.8,195.6,88.0,16.6,181.8,129.0,8.2,5.1,4.0,1.4,1.0
113,FALSE,157.0,FALSE,FALSE,0.0,276.2,95.0,47.0,165.8,119.0,14.1,151.6,79.0,6.8,2.2,4.0,0.6,3.0
114,FALSE,74.0,FALSE,FALSE,0.0,187.7,127.0,31.9,163.4,148.0,13.9,196.0,94.0,8.8,9.1,5.0,2.5,0.0
115,FALSE,120.0,FALSE,FALSE,0.0,165.0,100.0,28.1,317.2,83.0,27.0,119.2,86.0,5.4,8.3,8.0,2.2,1.0
116,FALSE,116.0,FALSE,TRUE,35.0,200.4,104.0,34.1,272.8,89.0,23.2,214.5,100.0,9.7,8.3,4.0,2.2,1.0
117,FALSE,30.0,FALSE,FALSE,0.0,162.3,96.0,27.6,244.0,122.0,20.7,180.1,89.0,8.1,9.1,4.0,2.5,2.0
118,TRUE,111.0,FALSE,FALSE,0.0,176.9,128.0,30.1,102.8,56.0,8.7,213.7,84.0,9.6,10.5,2.0,2.8,4.0
119,FALSE,52.0,FALSE,FALSE,0.0,165.5,78.0,28.1,205.5,89.0,17.5,213.6,124.0,9.6,12.2,6.0,3.3,0.0
120,FALSE,72.0,FALSE,FALSE,0.0,217.8,93.0,37.0,189.7,113.0,16.1,182.6,91.0,8.2,10.4,5.0,2.8,4.0
121,TRUE,135.0,FALSE,TRUE,28.0,201.4,100.0,34.2,246.5,117.0,21.0,154.8,131.0,7.0,12.9,4.0,3.5,2.0
122,FALSE,86.0,FALSE,FALSE,0.0,190.5,115.0,32.4,179.6,130.0,15.3,258.5,89.0,11.6,10.1,5.0,2.7,3.0
123,FALSE,98.0,FALSE,TRUE,29.0,179.9,97.0,30.6,189.2,89.0,16.1,164.3,76.0,7.4,12.8,7.0,3.5,3.0
124,FALSE,151.0,FALSE,FALSE,0.0,235.9,104.0,40.1,80.6,91.0,6.9,212.8,116.0,9.6,5.8,2.0,1.6,3.0
125,FALSE,118.0,FALSE,FALSE,0.0,140.4,112.0,23.9,187.1,60.0,15.9,207.9,155.0,9.4,7.9,1.0,2.1,0.0
126,FALSE,103.0,FALSE,FALSE,0.0,185.0,117.0,31.5,223.3,94.0,19.0,222.8,91.0,10.0,12.6,2.0,3.4,2.0
127,FALSE,117.0,FALSE,FALSE,0.0,144.6,115.0,24.6,258.8,66.0,22.0,253.2,113.0,11.4,7.4,9.0,2.0,2.0
128,FALSE,55.0,FALSE,FALSE,0.0,189.0,100.0,32.1,118.5,99.0,10.1,248.1,87.0,11.2,17.1,6.0,4.6,0.0
129,FALSE,82.0,FALSE,FALSE,0.0,101.0,93.0,17.2,155.6,104.0,13.2,304.4,93.0,13.7,13.3,2.0,3.6,0.0
130,FALSE,152.0,FALSE,FALSE,0.0,206.3,98.0,35.1,292.8,82.0,24.9,43.7,121.0,2.0,10.6,4.0,2.9,1.0
131,FALSE,108.0,FALSE,TRUE,15.0,165.1,85.0,28.1,267.0,93.0,22.7,250.7,114.0,11.3,10.9,4.0,2.9,1.0
132,TRUE,98.0,FALSE,FALSE,0.0,165.0,129.0,28.1,202.6,113.0,17.2,172.3,94.0,7.8,12.5,7.0,3.4,1.0
133,FALSE,130.0,FALSE,FALSE,0.0,155.9,95.0,26.5,256.1,97.0,21.8,262.9,103.0,11.8,11.7,3.0,3.2,3.0
134,FALSE,136.0,TRUE,FALSE,0.0,199.2,122.0,33.9,214.7,114.0,18.3,150.9,105.0,6.8,11.8,7.0,3.2,1.0
135,FALSE,47.0,FALSE,FALSE,0.0,155.3,116.0,26.4,188.2,85.0,16.0,247.0,73.0,11.1,12.3,4.0,3.3,3.0
136,FALSE,189.0,FALSE,FALSE,0.0,208.3,106.0,35.4,236.7,123.0,20.1,179.1,120.0,8.1,11.3,5.0,3.1,3.0
137,FALSE,98.0,FALSE,FALSE,0.0,161.0,117.0,27.4,190.9,113.0,16.2,227.7,113.0,10.3,12.1,4.0,3.3,4.0
138,FALSE,107.0,FALSE,FALSE,0.0,157.1,79.0,26.7,162.6,124.0,13.8,150.0,138.0,6.8,12.1,6.0,3.3,1.0
139,TRUE,91.0,FALSE,FALSE,0.0,154.4,165.0,26.3,168.3,121.0,14.3,239.9,81.0,10.8,11.7,4.0,3.2,5.0
140,TRUE,159.0,FALSE,FALSE,0.0,189.1,105.0,32.2,246.1,147.0,20.9,242.0,106.0,10.9,10.4,5.0,2.8,1.0
141,FALSE,11.0,FALSE,TRUE,24.0,131.5,98.0,22.4,230.2,111.0,19.6,283.7,87.0,12.8,10.0,3.0,2.7,2.0
142,FALSE,167.0,FALSE,FALSE,0.0,166.4,85.0,28.3,243.2,135.0,20.7,229.2,95.0,10.3,9.9,5.0,2.7,1.0
143,FALSE,111.0,FALSE,FALSE,0.0,142.3,75.0,24.2,122.8,106.0,10.4,229.5,94.0,10.3,12.8,9.0,3.5,2.0
144,FALSE,99.0,FALSE,TRUE,19.0,87.7,103.0,14.9,223.0,86.0,19.0,182.3,112.0,8.2,7.3,4.0,2.0,2.0
145,FALSE,159.0,FALSE,TRUE,19.0,184.1,78.0,31.3,194.5,71.0,16.5,225.6,101.0,10.2,16.9,3.0,4.6,0.0
146,FALSE,114.0,TRUE,TRUE,31.0,174.5,104.0,29.7,224.2,92.0,19.1,116.3,91.0,5.2,12.3,10.0,3.3,2.0
147,FALSE,71.0,FALSE,FALSE,0.0,103.3,103.0,17.6,138.5,79.0,11.8,164.8,98.0,7.4,9.0,2.0,2.4,2.0
148,FALSE,125.0,FALSE,FALSE,0.0,126.7,108.0,21.5,206.0,90.0,17.5,247.8,114.0,11.2,13.3,7.0,3.6,1.0
149,FALSE,122.0,FALSE,FALSE,0.0,35.1,62.0,6.0,180.8,89.0,15.4,251.6,58.0,11.3,12.7,2.0,3.4,1.0
150,FALSE,100.0,FALSE,TRUE,25.0,246.6,94.0,41.9,141.4,112.0,12.0,189.8,109.0,8.5,13.0,5.0,3.5,1.0
151,FALSE,83.0,FALSE,TRUE,37.0,78.5,109.0,13.4,210.5,101.0,17.9,179.7,102.0,8.1,11.8,4.0,3.2,1.0
152,TRUE,64.0,FALSE,FALSE,0.0,148.1,73.0,25.2,164.9,101.0,14.0,216.0,125.0,9.7,12.3,2.0,3.3,5.0
153,FALSE,105.0,FALSE,FALSE,0.0,206.2,84.0,35.1,256.4,138.0,21.8,117.1,91.0,5.3,9.0,3.0,2.4,1.0
154,FALSE,144.0,FALSE,TRUE,33.0,251.6,87.0,42.8,197.6,118.0,16.8,209.2,97.0,9.4,12.2,3.0,3.3,2.0
155,TRUE,106.0,TRUE,TRUE,26.0,270.3,111.0,46.0,215.2,90.0,18.3,254.0,133.0,11.4,14.4,7.0,3.9,1.0
156,FALSE,19.0,FALSE,TRUE,34.0,156.6,97.0,26.6,224.2,97.0,19.1,260.9,135.0,11.7,11.3,1.0,3.1,1.0
157,FALSE,46.0,FALSE,FALSE,0.0,139.4,81.0,23.7,223.7,113.0,19.0,173.1,77.0,7.8,13.6,6.0,3.7,1.0
158,FALSE,127.0,FALSE,FALSE,0.0,220.2,108.0,37.4,188.4,124.0,16.0,172.7,113.0,7.8,11.7,3.0,3.2,2.0
159,FALSE,63.0,FALSE,FALSE,0.0,58.9,125.0,10.0,169.6,59.0,14.4,211.4,88.0,9.5,9.4,3.0,2.5,1.0
160,FALSE,9.0,FALSE,TRUE,39.0,214.1,108.0,36.4,169.2,115.0,14.4,189.7,117.0,8.5,10.1,3.0,2.7,1.0
161,FALSE,157.0,FALSE,FALSE,0.0,196.0,74.0,33.3,213.4,96.0,18.1,196.8,81.0,8.9,7.9,6.0,2.1,1.0
162,TRUE,105.0,FALSE,FALSE,0.0,106.4,71.0,18.1,240.1,83.0,20.4,147.7,114.0,6.7,5.3,4.0,1.4,6.0
163,FALSE,105.0,FALSE,TRUE,29.0,179.4,113.0,30.5,275.4,100.0,23.4,246.1,105.0,11.1,10.0,5.0,2.7,0.0
164,FALSE,155.0,FALSE,FALSE,0.0,216.7,30.0,36.8,144.3,125.0,12.3,135.3,106.0,6.1,10.8,1.0,2.9,2.0
165,FALSE,31.0,FALSE,FALSE,0.0,177.3,129.0,30.1,152.8,105.0,13.0,162.9,92.0,7.3,5.1,2.0,1.4,0.0
166,FALSE,161.0,FALSE,FALSE,0.0,151.6,117.0,25.8,219.4,87.0,18.7,224.7,68.0,10.1,4.0,5.0,1.1,1.0
167,FALSE,95.0,FALSE,TRUE,32.0,262.2,123.0,44.6,165.2,82.0,14.0,194.3,57.0,8.7,10.6,5.0,2.9,0.0
168,FALSE,122.0,FALSE,FALSE,0.0,173.6,110.0,29.5,91.7,84.0,7.8,211.7,103.0,9.5,9.7,7.0,2.6,3.0
169,FALSE,37.0,TRUE,FALSE,0.0,106.6,76.0,18.1,147.4,89.0,12.5,235.8,113.0,10.6,9.6,8.0,2.6,2.0
170,TRUE,36.0,TRUE,TRUE,42.0,196.8,89.0,33.5,254.9,122.0,21.7,138.3,126.0,6.2,20.0,6.0,5.4,0.0
171,TRUE,132.0,FALSE,FALSE,0.0,193.3,106.0,32.9,128.3,94.0,10.9,162.1,119.0,7.3,11.6,4.0,3.1,5.0
172,FALSE,119.0,FALSE,TRUE,24.0,217.2,94.0,36.9,138.7,52.0,11.8,139.3,85.0,6.3,11.3,4.0,3.1,0.0
173,FALSE,16.0,FALSE,FALSE,0.0,209.5,89.0,35.6,172.8,85.0,14.7,94.1,102.0,4.2,8.8,4.0,2.4,1.0
174,FALSE,99.0,FALSE,FALSE,0.0,95.4,105.0,16.2,207.2,101.0,17.6,136.0,117.0,6.1,5.6,5.0,1.5,1.0
175,FALSE,76.0,FALSE,TRUE,26.0,214.6,110.0,36.5,205.2,87.0,17.4,134.6,140.0,6.1,8.1,2.0,2.2,1.0
176,TRUE,167.0,FALSE,FALSE,0.0,131.6,120.0,22.4,211.3,96.0,18.0,168.3,97.0,7.6,11.1,4.0,3.0,4.0
177,FALSE,129.0,FALSE,FALSE,0.0,168.4,117.0,28.6,217.1,129.0,18.5,81.6,100.0,3.7,11.8,7.0,3.2,1.0
178,FALSE,116.0,FALSE,FALSE,0.0,146.4,123.0,24.9,176.6,113.0,15.0,212.6,102.0,9.6,7.8,5.0,2.1,1.0
